 ,South,Dublin,West,North,East,,,,,,,,
2011M12,43.7,57.4,42.2,24.8,35.3,,,,,,,,
2012M01,35.7,64.8,36.9,35,42.5,,,,,,,,
2012M02,106,86.8,105.4,121.2,95.8,,,,,,,,
2012M03,120,136.4,117.5,128.3,132.7,,,,,,,,
2012M04,163.2,164.7,208.8,204.6,156.3,,,,,,,,
2012M05,160.6,189.1,215.1,199.3,173.6,,,,,,,,
2012M06,93.6,130.8,125.4,148.2,116.4,,,,,,,,
2012M07,137,138,109.1,114.7,136.4,,,,,,,,
2012M08,127.1,151.6,161.2,179.4,166.2,,,,,,,,
2012M09,147.9,158.1,119.1,110.4,135.9,,,,,,,,
2012M10,106,86.8,105.4,121.2,95.8,,,,,,,,
2012M11,89.7,97.8,78.6,41.4,78.3,,,,,,,,
2012M12,106,69.4,25.4,27.6,48.1,,,,,,,,
2013M01,51.2,30.1,29.8,37.8,24.8,,,,,,,,
2013M02,73.6,72.5,93.9,117.3,74.5,,,,,,,,
2013M03,76.9,69.8,114.4,97,60.1,,,,,,,,
2013M04,168,165.3,185.7,180,159.6,,,,,,,,
2013M05,197.5,194.4,180.4,152.8,164,,,,,,,,
2013M06,205.2,210.3,100.2,196.8,185.4,,,,,,,,
2013M07,264.4,237.2,113.2,193.4,229.1,,,,,,,,
2013M08,133.6,130.2,163.7,105.7,131.8,,,,,,,,
2013M09,119.1,138.6,120,87,115.8,,,,,,,,
2013M10,85.3,95.2,93.9,114.7,94.6,,,,,,,,
2013M11,73.2,80.4,72.3,49.8,61.2,,,,,,,,
2013M12,40.3,51.5,44.3,22.6,47.7,,,,,,,,
2014M01,73.2,64.5,35.7,53.6,54.3,,,,,,,,
2014M02,65.2,101.1,70.3,82.6,85.1,,,,,,,,
2014M03,107.9,120.9,102,121.2,98.9,,,,,,,,
2014M04,144.6,186,188.7,176.7,172.8,,,,,,,,
2014M05,150.4,146.3,178.9,173,114.7,,,,,,,,
2014M06,209.4,202.5,159.3,211.5,181.5,,,,,,,,
2014M07,156.9,182.9,213.9,156.6,160,,,,,,,,
2014M08,183.2,158.7,105.7,235,157.2,,,,,,,,
2014M09,133.8,141.3,93.9,162.7,118.2,,,,,,,,
2014M10,91.1,115.4,113.2,78.1,114.1,,,,,,,,
2014M11,94.2,63,51.3,70.8,60.6,,,,,,,,
2014M12,70.7,81.8,38.1,22,58.6,,,,,,,,
2015M01,70.4,92.4,53.3,42.8,68.5,,,,,,,,
2015M02,81.2,79.2,61.9,54,62.7,,,,,,,,
2015M03,134.9,155.9,116.3,109.1,129.3,,,,,,,,
,,,,,,,,,,,,,
Source: Met Eireann ,,,,,,,,,,,,,
